Standort	Geo_Breite	Geo_Laenge
Weidenbach-Weiherschneidbach	49.225	10.608
Dörpen	52.954	7.320
Dörnick	54.165	10.352
Coschen	52.019	14.725
Lügde-Paenbruch	51.866	9.271
Friedrichshafen-Unterraderach	47.684	9.441
Großerlach-Mannenweiler	49.021	9.603
Brilon-Thülen	51.414	8.650
Wusterwitz	52.361	12.387
Karlshagen	54.105	13.824
Markt Erlbach-Mosbach	49.531	10.642
Nossen	51.051	13.300
Lüdinghausen-Brochtrup	51.766	7.519
Runkel-Ennerich	50.394	8.142
Schonungen-Mainberg	50.058	10.297
Elsendorf-Horneck	48.702	11.849
Liebenburg-Othfresen	52.011	10.397
Bielefeld-Deppendorf	52.071	8.457
Aulendorf-Haslach	47.965	9.680
Neuglobsow (HM)	53.142	13.032
Hattstedt	54.527	9.043
Treuen	50.547	12.286
Arnsberg-Neheim	51.463	7.978
Hermaringen-Allewind	48.610	10.267
Offenbach-Wetterpark	50.090	8.786
Feldberg/Mecklenburg	53.318	13.418
Alfeld	51.964	9.807
Eisenach	51.001	10.362
Feuchtwangen-Heilbronn	49.162	10.366
Waldmünchen	49.391	12.684
Borkum-Flugplatz	53.598	6.702
Ahaus	52.081	6.941
Heckelberg	52.746	13.843
Hoyerswerda	51.449	14.253
Wunsiedel-Schönbrunn	50.032	11.975
Gottfrieding	48.660	12.539
Hoherodskopf/Vogelsberg	50.508	9.225
Leutkirch-Herlazhofen	47.795	10.033
Neu-Ulrichstein	50.751	9.022
Neuhütten/Spessart	50.008	9.424
Naumburg/Saale-Kreipitzsch	51.104	11.711
Piding	47.772	12.907
Wittingen-Vorhop	52.642	10.663
Waibstadt	49.294	8.905
Krölpa-Rockendorf	50.682	11.515
Balingen-Bronnhaupten	48.264	8.813
Hersdorf-Weißenseifen	50.150	6.553
Aachen-Orsbach	50.798	6.024
Schauenburg-Elgershausen	51.283	9.359
Ulm-Mähringen	48.442	9.922
Kaufbeuren-Oberbeuren Bayern	47.876	10.585
Lingen-Baccum	52.513	7.413
Brückenau, Bad (Elisabethenhof)	50.310	9.784
Hasenkrug-Hardebek	54.004	9.855
Gülzow-Prüzen	53.818	12.065
Bonndorf	47.819	8.335
Urach, Bad/Erms	48.495	9.400
Enzklösterle/Schwarzwald	48.667	8.470
Königsfeld	48.142	8.425
Schönau am Königssee Bayern	47.613	12.982
